pair,stratum,n_not_both,n_both,events_not_both,events_both,cox_HR,cox_CI_lo,cox_CI_hi,cox_p,penalized,logrank_p_raw,logrank_p_bonferroni,status
124+363,cox_overall,76,20,18,3,0.14747050370239528,0.03497203190541757,0.6218554735697024,0.009135051118046727,False,,,OK
124+363,non_amp,64,15,6,1,,,,,,0.8626108797130349,1.0,OK
124+363,amp,12,5,12,2,,,,,,0.043091331563530504,0.08618266312706101,OK
124+34b,cox_overall,69,27,17,4,0.18652636435602224,0.052142584134271405,0.667248951649253,0.009819729979200909,False,,,OK
124+34b,non_amp,58,21,7,0,,,,,,0.08213745144381841,0.16427490288763683,OK
124+34b,amp,11,6,10,4,,,,,,0.2103204117917613,0.4206408235835226,OK
137+450b,cox_overall,64,32,21,0,0.4110395666698138,0.1474683984046264,1.1456930921873216,0.08914772205930614,True,,,OK
137+450b,non_amp,47,32,7,0,,,,,,0.011636515214553236,0.023273030429106473,OK
137+450b,amp,17,0,14,0,,,,,,,,EMPTY:both_high
137+449b,cox_overall,93,3,21,0,0.6491190581963253,0.031271579623846774,13.474073161061911,0.7800433595489538,True,,,OK
137+449b,non_amp,76,3,7,0,,,,,,0.59538033903331,1.0,OK
137+449b,amp,17,0,14,0,,,,,,,,EMPTY:both_high
137+17,cox_overall,71,25,18,3,0.8342487330844581,0.22057075605577223,3.1553183255038775,0.78947014664023,False,,,OK
137+17,non_amp,56,23,6,1,,,,,,0.2611653228872929,0.5223306457745858,OK
137+17,amp,15,2,12,2,,,,,,0.1465513789502897,0.2931027579005794,OK
19b+2110,cox_overall,73,23,17,4,1.0240791352582157,0.33404342342904825,3.13952618646291,0.966795207022127,False,,,OK
19b+2110,non_amp,59,20,6,1,,,,,,0.5045933940715802,1.0,OK
19b+2110,amp,14,3,11,3,,,,,,0.91632710773105,1.0,OK
